"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"423","CRESCENT PRODUCTS, INC.","SAFETY AND RESCUE EQUIPMENT",9828.4,NA,"1/12/11","2/5/13","1/12/11","2/5/13","MINNESOTA","SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS","20100107 JB- THIS REQUISITION REPLACES REQUISITION #192111IAOOPS00005; TO PROCURE INAMI DEFENSIVE TACTICAL TRAINING EQUIPMENT FOR HSI MEXICO"
"424","SHERBURNE COUNTY SHERIFFS OFFICE","LEASE-RENT OF MISC BLDGS",8300,NA,"8/4/11","8/24/12","8/5/11","8/4/12","MINNESOTA","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","RANGE AND CLASSROOM RENTAL FOR MANDATORY FIREARMS QUALIFICATIONS AND ASSOCIATED TRAINING"
"425","U.S. BANCORP","SUPPORT- MANAGEMENT: FINANCIAL",29131119.81,29151119.81,"9/25/12","5/25/21","9/28/12","4/27/18","DISTRICT OF COLUMBIA","FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES","I-901 FEE WEBSITE"
"426","IDS INTERNATIONAL, LLC","SUPPORT- MANAGEMENT: AUDITING",62275.58,NA,"4/30/12","11/2/16","5/1/12","4/5/13","TEXAS","SECURITY GUARDS AND PATROL SERVICES","SERVICES OF FORENSIC AUDITOR"
"427","POLARIS SALES INC","MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES",7206.07,NA,"7/19/12","5/31/17","7/19/12","9/19/12","MASSACHUSETTS","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","PURCHASE POLARIS SPORTSMAN 550 ATV FOR RAPID RESPONSE TEAM. VENDOR SELECTED OFFERS LOWEST COST TO GOVERNMENT.  MARKET RESEARCH ATTACHED."
"428","COUNTY SHERBURNE","EDUCATION/TRAINING- PERSONNEL TESTING",5940,NA,"7/3/12","4/23/14","8/5/12","8/4/13","MINNESOTA","OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","RANGE AND CLASSROOM RENTAL FOR MANDATORY FIREARMS QUALIFICATIONS AND TRAINING"
"429","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",4875,4875,"11/28/12","5/31/17","11/28/12","1/28/13","TEXAS","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","ONE (1) RUGGED COMPACT REMOTE SURVEILLANCE ROBOT"
"430","RECONROBOTICS, INC","OPTICAL SIGHTING AND RANGING EQUIPMENT",13290.94,13290.94,"5/16/13","5/31/17","5/16/13","7/16/13","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","MISSION CRITICAL RECON ROBOTICS THROWBOT XT (IR VIDEO) ROBOT CAMERA SYSTEM WILL PROVIDE SAFETY DURING TRAINING EXERCISES AS WELL AS SAFETY DURING TRAINING EXERCISES. THIS CAMERA SYSTEM IS MOBILE ANDHAD INFRARED RED (IR) CAPABILITIES."
"431","RECONROBOTICS, INC","OPTICAL SIGHTING AND RANGING EQUIPMENT",13632.99,13632.99,"7/31/13","5/31/17","7/31/13","8/30/13","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","NEEDED FOR SAFE ENTRY INTO HIGH RISK/DANGEROUS STRUCTURES"
"432","WEBER COMPUTER SUPPLY COMPANY","OFFICE SUPPLIES",2980,2980,"8/20/13","5/31/17","8/20/13","9/23/13","DISTRICT OF COLUMBIA","INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS","FOR DOCUMENT FRAUD TASK FORCE NEED OF LIGHTWEIGHT FOLDING HAND-TRUCKS AS PROVIDED BY TEOAF FUNDING."
"433","SOUTH METRO PUBLIC SAFETY TRAINING","LEASE OR RENTAL OF EQUIPMENT- WEAPONS",44685.75,NA,"6/21/13","1/19/17","6/21/13","8/31/16","MINNESOTA","ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION","FIREARMS TRAINING FACILITY IGF::OT::IGF"
"434","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",13632.99,13632.99,"2/12/14","5/31/17","2/12/14","3/26/14","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","TO PROVIDE FUNDING TO PURCHASE A THROWBOT XT AUDIO KIT AND SEARCH STICK POLE. FOR SAC TAMPA HSI SRT TEAM. VENDOR DUNS IS 191067664, VENDOR POC FOR QUOTE IS: BRETT.SCHENDEL@RECONROBOTICS.COM  *VENDOR IS A SOLE SOURCE*  *MISSION CRITICAL"
"435","RIMAGE CORPORATION","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",1212288.5,NA,"8/23/14","5/31/17","8/23/14","10/22/14","VIRGINIA","ELECTRONIC COMPUTER MANUFACTURING","SPECTRUM RELOCATION FUNDING PHASE II (SFR2) DIRECTED BY CONGRESS FOR THE ACQUISITION OF EQUIPMENT&SERVICES TO COMPENSATE FOR WIRELESS SPECTRUM LOST BY THE AGENCY AS A RESULT OF THE SALE OF LICENSED FREQUENCIES TO COMMERCIAL ENTITIES."
"436","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",23300,23300,"9/10/14","5/31/17","9/10/14","10/22/14","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","MISSION CRITICAL REQUIREMENT FOR LIGHTWEIGHT REMOTE TACTICAL RECONNASSAINCE DEVICE."
"437","POLARIS SALES INC","TRUCKS AND TRUCK TRACTORS, WHEELED",15082.91,NA,"9/23/14","5/31/17","9/23/14","11/24/14","MAINE","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","GINAOBLIGATE FUNDS TO PURCHASE POLARIS UTV MODEL RZR 4 800 EPS-LE FOR HSI RAC HOULTON ME. REFER TO QUOTE ATTACHED."
"438","MINNEAPOLIS GLASS COMPANY","CRYSTAL AND GLASS INDUSTRIES MACHINERY",9847.05,NA,"9/17/14","5/20/16","9/17/14","10/17/14","MINNESOTA","GLASS AND GLAZING CONTRACTORS","GLASS IS REQUIRED TO PROTECT AND PREVENT DAMAGE TO WOOD SURFACES ON DESKS AND CONFERENCE ROOM TABLES IN HSI ST PAUL"
"439","WECSYS LLC","HARDWARE, COMMERCIAL",4336.99,NA,"11/25/14","5/31/17","11/25/14","11/25/14","MINNESOTA","HARDWARE STORES","LOW PROFILE STRETCH WRAP MACHINE"
"440","WEST PUBLISHING CORPORATION","IT AND TELECOM- WEB-BASED SUBSCRIPTION",6128886.48,6128886.48,"9/30/15","5/19/17","9/30/15","1/31/17","MINNESOTA","PERIODICAL PUBLISHERS","IGF::CT::IGF CONSOLIDATED LEAD EVALUATION AND REPORTING (CLEAR) SYSTEM ACCESS"
"441","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",14655.06,14655.06,"7/18/16","7/18/16","7/18/16","8/29/16","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","TACTICAL ROBOT"
"442","RANGE SYSTEMS INC","MISCELLANEOUS FURNITURE AND FIXTURES",6989.12,6989.12,"8/18/16","8/18/16","8/18/16","11/15/16","CALIFORNIA","SPORTING AND ATHLETIC GOODS MANUFACTURING","FOAM FURNITURE FOR FIRING RANGE"
"443","SOUTH METRO PUBLIC SAFETY TRAINING","LEASE OR RENTAL OF EQUIPMENT- WEAPONS",54506.25,54506.25,"8/8/16","11/22/19","8/8/16","8/31/19","MINNESOTA","ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION","IGF::OT::IGF  FIREARMS RANGE SERVICES"
"444","PRODUCTION AUTOMATION CORPORATION","HOUSEHOLD FURNITURE",9117.5,9117.5,"9/23/16","9/23/16","9/23/16","12/15/16","HAWAII","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","WORKBENCHES DESIGNED FOR FORENSIC WORK"
"445","WEBER COMPUTER SUPPLY COMPANY","OFFICE FURNITURE",6049.45,6049.45,"12/16/16","10/27/17","12/16/16","1/12/17","MARYLAND","INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS","FILING CABINETS REQUIRED FOR CLOSED CASE FILING ROOM.  WEBVIEW POC: LANIECE JENKINS @ (410) 779-2544 COTR POC: CLIF SCHINDLER @ (410) 779-1545"
"446","WEST PUBLISHING CORPORATION","IT AND TELECOM- WEB-BASED SUBSCRIPTION",20632465.71,20632465.71,"1/19/17","4/21/21","1/19/17","2/28/21","MARYLAND","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","IGF::CT::IGF CONSOLIDATED LEAD EVALUATION AND REPORTING (CLEAR) SYSTEM ACCESS/SUBSCRIPTION"
"447","FOX RIVER GRAPHICS LLC","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",10143,10143,"6/8/17","11/2/17","6/8/17","7/17/17","VIRGINIA","OTHER COMPUTER RELATED SERVICES","SHARP 80"" AQUOS INTERACTIVE BOARD W/KIT CRITICAL NEED FOR INVESTIGATION AND ABILITY TO PRESENT CASE INVESTIGATIVE FINDINGS AND OPERATIONAL BRIEFINGS TO A LARGE AND MULTI-DISCIPLIN AUDIENCE, WILL ASSIST IN ABILITY TO  CONDUCT A MULTIMEDIA/R."
"448","WECSYS LLC","OFFICE FURNITURE",6120,6120,"7/26/17","11/3/17","7/26/17","11/2/17","MINNESOTA","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","FY2017 PURCHASE BOOKCASES/SHELVES FOR THE BALTIMORE OCC"
"449","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",17991.27,17991.27,"9/19/17","5/30/19","9/19/17","11/19/17","VIRGINIA","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","2017 LAW PUBLICATIONS"
"450","UNITED OFFICE SOLUTIONS INC","OFFICE FURNITURE",17934.34,NA,"7/23/10","11/18/11","7/23/10","10/15/10","MINNESOTA","CARBON PAPER AND INKED RIBBON MANUFACTURING","FURNITURE FOR OFFICE SPACE IN CHARLESTON, SC ICE ACADEMY OFFICE"
"451","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",53541.74,53541.74,"9/3/10","1/18/12","9/7/10","9/30/10","MINNESOTA","PERIODICAL PUBLISHERS","LAW BOOKS FOR OPLA OF STATE PENAL CODES"
"452","NOMAD TECHNOLOGIES INC","TRAINING AIDS",13845.22,NA,"8/27/10","3/21/13","8/27/10","9/27/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","AUDIO VISUAL SYSTEM FOR GLYNCO OI MODULAR BUILDING"
"453","STRATFORD COMPANIES, THE","BOOKS AND PAMPHLETS",21000,NA,"9/8/10","5/31/17","9/9/10","10/8/10","DISTRICT OF COLUMBIA","BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS","DHS ICE OPLA ATTORNEYS NEED ACCESS TO 875 COPIES OF THE BLUEBOOK: UNIFORM SYSTEMS OF CITATION, 19TH EDITION, IT IS USED BY LAWYERS TO PROPERLY CITE INFORMATION IN THEIR WORK. THESE COPIES WILL GO TO 27 OF THEIR OFFICES.  OFFICE LOCATION	ZIPCODE	   NUMBER OF BOOKS ARLINGTON, VIRGINIA	22203	   16 ATLANTA, GEORGIA	30303	   28 BALTIMORE, MARYLAND	21201	   13 BOSTON, MASSACHUSETTS	02114	   25 BUFFALO, NEW YORK	14202	   11 CHICAGO, ILLINOIS	60603	   29 DALLAS, TEXAS	       75247     16 DENVER, COLORADO	80111	   22 DETROIT, MICHIGAN	48207	   19 EL PASO, TEXAS	       79925	   13 HONOLULU, HAWAII	96813	    4 HOUSTON, TEXAS	       77267	   24 LA, CALIFORNIA       90012	   93 MIAMI, FLORIDA	       33130	   58 NEWARK, NEW JERSEY	07102	   25 NEW ORLEANS, LOUISIANA70113	   18 NEW YORK, NEW YORK	10008	   82 ORLANDO, FLORIDA	32801	   16 PHILADELPHIA, PA     19130	   19 PHOENIX, ARIZONA	85002	   37 BLOOMINGTON, MN	55425	   14 SAN ANTONIO, TEXAS	78297	   38 SAN DIEGO, CA        92101	   27 SAN FRANCISCO, CA	94126	   46 GUAYNABO, P.R.  	00968	    5 SEATTLE, WASHINGTON	98104	   22 WASHINGTON, D.C.	20024	  155 TOTAL BOOKS 	 	         875 TOTAL LOCATIONS	 	  27"
"454","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",41473.5,41473.5,"9/9/11","2/6/12","9/9/11","9/26/11","MINNESOTA","PERIODICAL PUBLISHERS","TEXTBOOKS"
"455","WEST PUBLISHING CORPORATION","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL",20998.72,NA,"9/20/11","2/27/13","9/20/11","1/29/12","TEXAS","CREDIT BUREAUS","SUBSCRIPTION FOR 125 USERS FOR ACCESS TO ""CLEAR""--A PUBLIC RECORDS ELECTRONIC DATABASE"
"456","WEST PUBLISHING CORPORATION","TRAINING AIDS",182879.86,NA,"6/10/11","10/30/12","9/10/11","9/9/12","MINNESOTA","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","USER LICENSES FOR CONTINUOUS LEGAL EDUCATION"
"457","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",42288.6,NA,"8/22/12","11/15/12","8/22/12","9/14/12","MINNESOTA","","HSI ADVANCED TRAINING TEXTBOOKS"
"458","WECSYS LLC","OFFICE SUPPLIES",13090,NA,"8/27/13","11/21/13","8/27/13","9/26/13","NEW YORK","ENVELOPE MANUFACTURING","FOURTH QUARTER SUPPLY ORDER"
"459","NOMAD TECHNOLOGIES INC","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",4670.7,NA,"11/4/13","11/25/14","11/4/13","10/9/14","GEORGIA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","IGF::OT::IGF MAINTENANCE SERVICE AGREEMENT"
"460","WEST PUBLISHING CORPORATION","IT AND TELECOM- WEB-BASED SUBSCRIPTION",25333.58,NA,"1/21/14","11/25/14","1/21/14","9/30/14","MINNESOTA","ALL OTHER INFORMATION SERVICES","IGF::OT::IGF   CLEAR SUBSCRIPTION SERVICE"
"461","NOMAD TECHNOLOGIES INC","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",4670.7,NA,"11/7/14","11/4/15","11/7/14","10/9/15","GEORGIA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","IGF::OT::IGF MAINTENANCE SERVICE AGREEMENT"
"462","NOMAD TECHNOLOGIES INC","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",4449.33,NA,"10/23/15","8/11/17","10/23/15","10/9/16","GEORGIA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","IGF::OT::IGF MAINTENANCE SERVICE AGREEMENT"
"463","WEST PUBLISHING CORPORATION","BOOKS AND PAMPHLETS",16881.01,NA,"4/27/16","8/9/17","4/29/16","9/30/16","DISTRICT OF COLUMBIA","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","IGF::OT::IGF FEDERAL LAW BOOKS"
"464","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",189601.15,189601.15,"6/10/16","9/1/21","6/10/16","12/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"465","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",426070,NA,"6/10/16","8/10/17","6/10/16","12/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"466","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",392836.54,392836.54,"6/13/16","5/12/23","6/13/16","12/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"467","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",33026,33026,"6/29/16","8/10/17","6/29/16","11/1/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"468","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",13278,13278,"7/6/16","8/10/17","7/6/16","11/7/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"469","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",44355.6,44355.6,"7/15/16","5/10/18","7/15/16","7/21/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: 9MM 100 GRAIN CASES: 120 @ 1000 ROUNDS PER CASE"
"470","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",10078.8,10078.8,"8/15/16","5/10/18","8/15/16","7/28/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION"
"471","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7243.19,NA,"7/19/16","8/10/17","7/19/16","1/31/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"472","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",5112.84,NA,"7/19/16","8/10/17","7/19/16","1/31/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"473","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2137209.54,2137209.54,"8/4/16","7/26/19","8/4/16","11/30/19","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"474","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",33008.07,NA,"8/5/16","8/16/17","8/5/16","2/16/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"475","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",9457.8,NA,"8/11/16","8/16/17","8/11/16","1/31/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P (135 GR) AMMUNITION"
"476","VISTA OUTDOOR SALES LLC","GUNS, THROUGH 30MM",3731.84,3731.84,"8/31/16","5/12/18","8/31/16","9/4/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE 8,500 ROUNDS OF FEDERAL 12 GAUGE STANDARD VELOCITY 00 BUCKSHOT AMMUNITION"
"477","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",299953.28,299953.28,"9/7/16","5/9/18","9/7/16","9/14/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"478","NOMAD TECHNOLOGIES INC","IT AND TELECOM- ANNUAL HARDWARE MAINTENANCE SERVICE PLANS",4710.27,4710.27,"11/10/16","3/31/20","11/11/16","3/9/18","GEORGIA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","IGF::OT::IGF MAINTENANCE SERVICE AGREEMENT"
"479","WEST PUBLISHING CORPORATION","IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION",1971.4,NA,"8/28/07","5/31/17","8/28/07","2/23/12","TEXAS","CREDIT BUREAUS","SERVICES NEEDED TO PROVIDE ON-LINE ACCESS TO RESEARCH RECORDS & OTHER DATA NEEDED IN SUPPORT OF U/C OPERATIONS."
"480","WEST PUBLISHING CORPORATION","INFORMATION RETRIEVAL",6695.42,NA,"8/28/07","7/12/11","8/28/07","9/30/08","FLORIDA","CREDIT BUREAUS","AUTOTRACK SERVICE RENEWAL"
"481","FEDERAL CARTRIDGE COMPANY","MISCELLANEOUS AMMUNITION",1404948,NA,"12/14/07","5/31/17","12/14/07","3/14/08","MINNESOTA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION 40 CAL 135 GR 10,200,000 ROUNDS"
"482","FEDERAL CARTRIDGE COMPANY","MISCELLANEOUS AMMUNITION",15977.84,NA,"12/19/07","11/5/12","12/19/07","9/17/08","MINNESOTA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION CARTRIDGE 40 S&W 135 JHP"
"483","FEDERAL CARTRIDGE COMPANY","AMMUNITION, 75MM THROUGH 125MM",10357.5,NA,"12/19/07","11/30/12","12/19/07","2/28/08","TEXAS","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION NEEDED FOR SLA/BP QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE DISTRIBUTION LIST."
"484","FEDERAL CARTRIDGE COMPANY","AMMUNITION, OVER 30MM UP TO 75MM",640886.52,NA,"12/20/07","12/6/12","12/20/07","4/2/08","TEXAS","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","AMMUNITION NEEDED FOR SLA/BP QUALIFICATIONS, TRAINING, AND OPERATIONS, PLEASE SEE ATTACHED DISTRIBUTION LIST."
"485","ALL HANDS INTERPRETING SERVICE","SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING",4200,NA,"9/28/10","5/31/17","7/19/10","5/31/17","MINNESOTA","","AMERICAN SIGN LANGUAGE INTERPRETER SERVICE"
"486","BLUUM OF MINNESOTA LLC","RADIO TV EQ EXCEPT AIRBORNE",25436.88,25436.88,"1/7/11","9/7/11","1/7/11","9/7/11","VIRGINIA","OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING","LCD TV'S FOR THE NEW ERS."
"487","NOMAD TECHNOLOGIES INC","COMMUNICATION TRAINING DEVICES",58254.68,58254.68,"4/19/11","4/19/22","4/19/11","5/19/11","MINNESOTA","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","INSTRUCTOR PODIUMS FOR TWO (2) NEW CLASSROOMS AT FORT BENNING, GA."
"488","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",43026,43026,"8/25/11","4/20/22","8/25/11","10/31/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE 300 CASES OF 9MM FRANGIBLE. 150,000 ROUNDS. CONTRACT # HSFLGL-09-D-00009, AUTHORIZATION # HSFLGL-11-DJ-9031."
"489","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",31948,31948,"8/25/11","4/21/22","8/25/11","10/31/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE .223, 55 GRAIN FRANGIBLE, PART # BC223NT5A. CONTRACT # HSFLGL-09-D-00013. AUTHORIZATION # HSFLGL-11-DJ-1340."
"490","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",10143.2,10143.2,"9/1/11","4/22/21","9/1/11","10/31/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".308 168GR"
"491","FEDERAL CARTRIDGE COMPANY","ARMAMENT TRAINING DEVICES",33723.92,33723.92,"9/14/11","4/21/23","9/14/11","10/14/11","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE 12 GAUGE TARGET ROUNDS FOR CBP; CONTRACT # HSFLGL-07-D-00006."
"492","QUALIFICATION TARGETS INC","TRAINING AIDS",96980,96980,"1/6/11","4/26/22","1/6/11","2/5/11","DISTRICT OF COLUMBIA","SPORTING AND ATHLETIC GOODS MANUFACTURING","TARGETS NEEDED FOR QUALIFICATION, TRAINING, AND OPERATIONS."
"493","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30 MM",692027.16,NA,"4/6/11","4/21/11","4/6/11","1/31/12","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".12 GAUGE BUCK. CONTRACT # HSCESS-08-D-00001."
"494","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",3487503.12,3487503.12,"4/13/11","4/21/23","4/13/11","9/30/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION ORDER FOR.40 S&W, 180 GR. PART # XM40HC."
"495","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",91183.96,91183.96,"4/4/11","4/27/22","4/4/11","9/25/11","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","TO PURCHASE .223 - 62 GR AMMO FOR CBP SLA."
"496","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",55447.74,55447.74,"7/6/11","4/27/22","7/6/11","10/31/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE .40 S&W 180 GR. CONTRACT # HSCESS-08-D-00009."
"497","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",145808.5,145808.5,"9/1/11","4/29/22","11/30/11","11/30/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".308 168 GR"
"498","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",89511.3,89511.3,"9/1/11","4/29/22","9/1/11","11/30/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".223, 55 GRAIN FRANGIBLE"
"499","FEDERAL CARTRIDGE COMPANY","AMMUNITION, OVER 30MM UP TO 75MM",268427.4,268427.4,"6/29/11","9/15/21","6/29/11","8/28/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".12 GAUGE BUCK (P/N: XH132)."
"500","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",13918.98,13918.98,"8/3/11","5/2/22","8/3/11","10/31/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","TO PURCHASE .40 S&W 180GR AMMUNITION."
"501","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",85080,85080,"8/8/11","5/3/22","8/8/11","10/7/11","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GAUGE BUCK AMMUNITION."
"502","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",1132457.32,NA,"8/11/11","9/15/14","8/11/11","11/30/11","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE 40 180 GR AMMO FOR USE BY AGENT FOR DUTY AND TRAINING. CONTRACT# HSCESS-08-D-00009; PART # XM40HC."
"503","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",2277778.27,2277778.27,"8/11/11","4/18/23","8/11/11","2/28/12","PENNSYLVANIA","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","PURCHASE .223 62GR AMMO FOR USE BY AGENTS FOR DUTY AND TRAINING. CONTRACT # HSCEOP-06-D-00008; PART # XM223SPI."
"504","FEDERAL CARTRIDGE COMPANY","AMMUNITION, THROUGH 30MM",3063772.86,3063772.86,"8/29/11","5/28/21","8/29/11","1/15/12","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".40 S&W CALIBER (180GR) DUTY AMMO"
